Date,Open,High,Low,Close
03/07/2023,"4,048.23","4,050.00","3,980.31","3,986.37"
03/06/2023,"4,055.15","4,078.49","4,044.61","4,048.42"
03/03/2023,"3,998.02","4,048.29","3,995.17","4,045.64"
03/02/2023,"3,938.68","3,990.84","3,928.16","3,981.35"
03/01/2023,"3,963.34","3,971.73","3,939.05","3,951.39"
02/28/2023,"3,977.19","3,997.50","3,968.98","3,970.15"
02/27/2023,"3,992.36","4,018.05","3,973.55","3,982.24"
02/24/2023,"3,973.24","3,978.25","3,943.08","3,970.04"
02/23/2023,"4,018.60","4,028.30","3,969.19","4,012.32"
02/22/2023,"4,001.83","4,017.37","3,976.90","3,991.05"
02/21/2023,"4,052.35","4,052.35","3,995.19","3,997.34"
02/17/2023,"4,077.73","4,081.51","4,047.95","4,079.09"
02/16/2023,"4,114.75","4,136.54","4,089.49","4,090.41"
02/15/2023,"4,119.50","4,148.11","4,103.98","4,147.60"
02/14/2023,"4,126.70","4,159.77","4,095.01","4,136.13"
02/13/2023,"4,096.62","4,138.90","4,092.67","4,137.29"
02/10/2023,"4,068.92","4,094.36","4,060.79","4,090.46"
02/09/2023,"4,144.25","4,156.23","4,069.67","4,081.50"
02/08/2023,"4,153.47","4,156.85","4,111.67","4,117.86"
02/07/2023,"4,105.35","4,176.54","4,088.39","4,164.00"
02/06/2023,"4,119.57","4,124.63","4,093.38","4,111.08"
02/03/2023,"4,136.69","4,182.36","4,123.36","4,136.48"
02/02/2023,"4,158.68","4,195.44","4,141.88","4,179.76"
02/01/2023,"4,070.07","4,148.95","4,037.20","4,119.21"
01/31/2023,"4,020.85","4,077.16","4,020.44","4,076.60"
01/30/2023,"4,049.27","4,063.85","4,015.55","4,017.77"
01/27/2023,"4,053.72","4,094.21","4,048.70","4,070.56"
01/26/2023,"4,036.08","4,061.57","4,013.29","4,060.43"
01/25/2023,"3,982.71","4,019.55","3,949.06","4,016.22"
01/24/2023,"4,001.74","4,023.92","3,989.79","4,016.95"
01/23/2023,"3,978.14","4,039.31","3,971.64","4,019.81"
01/20/2023,"3,909.04","3,972.96","3,897.86","3,972.61"
01/19/2023,"3,911.84","3,922.94","3,885.54","3,898.85"
01/18/2023,"4,002.25","4,014.16","3,926.59","3,928.86"
01/17/2023,"3,999.28","4,015.39","3,984.57","3,990.97"
01/13/2023,"3,960.32","4,003.95","3,947.67","3,999.09"
01/12/2023,"3,977.57","3,997.76","3,937.56","3,983.17"
01/11/2023,"3,932.35","3,970.07","3,928.54","3,969.61"
01/10/2023,"3,888.57","3,919.83","3,877.29","3,919.25"
01/09/2023,"3,910.82","3,950.57","3,890.42","3,892.09"
01/06/2023,"3,823.37","3,906.19","3,809.56","3,895.08"
01/05/2023,"3,839.74","3,839.74","3,802.42","3,808.10"
01/04/2023,"3,840.36","3,873.16","3,815.77","3,852.97"
01/03/2023,"3,853.29","3,878.46","3,794.33","3,824.14"
12/30/2022,"3,828.85","3,839.85","3,800.34","3,839.50"
12/29/2022,"3,805.45","3,858.19","3,805.45","3,849.28"
12/28/2022,"3,829.56","3,848.32","3,780.78","3,783.22"
12/27/2022,"3,843.34","3,846.65","3,813.22","3,829.25"
12/23/2022,"3,813.11","3,845.80","3,797.01","3,844.82"
12/22/2022,"3,853.26","3,853.26","3,764.49","3,822.39"
12/21/2022,"3,839.49","3,889.82","3,839.49","3,878.44"
12/20/2022,"3,810.47","3,838.24","3,795.62","3,821.62"
12/19/2022,"3,853.79","3,854.86","3,800.04","3,817.66"
12/16/2022,"3,890.91","3,890.91","3,827.91","3,852.36"
12/15/2022,"3,958.37","3,958.37","3,879.45","3,895.75"
12/14/2022,"4,015.54","4,053.76","3,965.65","3,995.32"
12/13/2022,"4,069.38","4,100.96","3,993.03","4,019.65"
12/12/2022,"3,939.29","3,990.71","3,935.30","3,990.56"
12/09/2022,"3,954.17","3,977.02","3,933.04","3,934.38"
12/08/2022,"3,947.79","3,974.19","3,935.83","3,963.51"
12/07/2022,"3,933.28","3,957.57","3,922.68","3,933.92"
12/06/2022,"3,996.63","4,001.51","3,918.39","3,941.26"
12/05/2022,"4,052.02","4,052.45","3,984.49","3,998.84"
12/02/2022,"4,040.17","4,080.48","4,026.63","4,071.70"
12/01/2022,"4,087.14","4,100.51","4,050.87","4,076.57"
11/30/2022,"3,957.18","4,080.11","3,938.58","4,080.11"
11/29/2022,"3,964.19","3,976.77","3,937.65","3,957.63"
11/28/2022,"4,005.36","4,012.27","3,955.77","3,963.94"
11/25/2022,"4,023.34","4,034.02","4,020.76","4,026.12"
11/23/2022,"4,001.02","4,033.78","3,998.66","4,027.26"
11/22/2022,"3,965.51","4,005.88","3,956.88","4,003.58"
11/21/2022,"3,956.23","3,962.00","3,933.34","3,949.94"
11/18/2022,"3,966.39","3,979.89","3,935.98","3,965.34"
11/17/2022,"3,919.26","3,954.33","3,906.54","3,946.56"
11/16/2022,"3,976.82","3,983.09","3,954.34","3,958.79"
11/15/2022,"4,006.41","4,028.84","3,953.17","3,991.73"
11/14/2022,"3,977.97","4,008.97","3,956.40","3,957.25"
